event_date,entry_date,exit_date,entry_price,exit_price,gross_return,transaction_cost,net_return,equity
2007-10-18,2007-10-19,2007-10-26,5360.35009765625,5702.2998046875,0.06379242042059219,0.001,0.06279242042059219,1.062792420420592
2007-11-20,2007-11-21,2007-11-28,5778.7998046875,5617.5498046875,-0.02790371797777136,0.001,-0.02890371797777136,1.0320737680318424
2007-12-17,2007-12-18,2007-12-27,5777.60009765625,6081.5,0.052599677583609505,0.001,0.051599677583609505,1.0853284417047866
2008-01-15,2008-01-16,2008-01-23,6065.0,5203.39990234375,-0.14206102187242375,0.001,-0.14306102187242375,0.9300602457672945
2008-01-24,2008-01-25,2008-02-01,5035.0498046875,5317.25,0.05604715072525779,0.001,0.05504715072525779,0.9812574122996169
2008-02-06,2008-02-07,2008-02-14,5322.5498046875,5202.0,-0.022648882417470872,0.001,-0.023648882417470873,0.9580517711348716
2008-02-20,2008-02-21,2008-02-28,5156.89990234375,5285.10009765625,0.024859934794203564,0.001,0.023859934794203563,0.980910823923621
2008-03-03,2008-03-04,2008-03-12,4958.5498046875,4872.0,-0.017454660756998197,0.001,-0.018454660756998198,0.962808447435243
2008-03-13,2008-03-14,2008-03-25,4623.7998046875,4877.5,0.05486833470932395,0.001,0.05386833470932395,1.0146733351426491
2008-03-31,2008-04-01,2008-04-08,4735.64990234375,4709.64990234375,-0.005490270720209356,0.001,-0.006490270720209356,1.0080878305049956
2008-06-02,2008-06-03,2008-06-10,4739.2998046875,4449.7998046875,-0.06108497287166015,0.001,-0.06208497287166015,0.9455007248958422
2008-06-20,2008-06-23,2008-06-30,4351.14990234375,4040.550048828125,-0.07138339530622018,0.001,-0.07238339530622018,0.8770621721633888
2008-06-30,2008-07-01,2008-07-08,4039.75,3988.550048828125,-0.012674039525187197,0.001,-0.013674039525187198,0.8650691893551801
2008-07-11,2008-07-14,2008-07-21,4047.449951171875,4159.5,0.027684109792557754,0.001,0.026684109792557753,0.8881527905820925
2008-07-25,2008-07-28,2008-08-04,4282.25,4395.35009765625,0.02641137197880794,0.001,0.02541137197880794,0.9107219715175903
2008-08-14,2008-08-18,2008-08-25,4430.7001953125,4335.35009765625,-0.02152032262465564,0.001,-0.022520322624655642,0.8902122188976517
2008-09-05,2008-09-08,2008-09-15,4358.2998046875,4072.89990234375,-0.06548422897314055,0.001,-0.06648422897314055,0.8310271459017727
2008-09-15,2008-09-16,2008-09-23,4072.550048828125,4126.89990234375,0.013345410827121595,0.001,0.012345410827121595,0.8412865174264204
2008-09-23,2008-09-24,2008-10-01,4125.75,3950.75,-0.042416530327819224,0.001,-0.043416530327819225,0.8047607758281907
2008-10-03,2008-10-06,2008-10-14,3817.300048828125,3518.64990234375,-0.07823596328930382,0.001,-0.07923596328930382,0.7409947805379965
2008-10-15,2008-10-16,2008-10-23,3333.85009765625,2943.14990234375,-0.1171918904173791,0.001,-0.1181918904173791,0.6534152066367998
2008-10-23,2008-10-24,2008-11-04,2936.25,3142.10009765625,0.07010646152618127,0.001,0.06910646152618127,0.6985704194748676
2008-11-05,2008-11-06,2008-11-14,2998.449951171875,2810.35009765625,-0.06273236391426529,0.001,-0.06373236391426529,0.6540488752811544
2008-11-18,2008-11-19,2008-11-26,2682.75,2752.25,0.025906252912123673,0.001,0.024906252912123672,0.670338781985797
2008-12-01,2008-12-02,2008-12-10,2672.89990234375,2928.25,0.0955329817747177,0.001,0.0945329817747177,0.7337079058461468
2008-12-17,2008-12-18,2008-12-26,2955.35009765625,2857.25,-0.03319406987823492,0.001,-0.03419406987823492,0.7086194464434302
2008-12-26,2008-12-29,2009-01-06,2857.14990234375,3112.800048828125,0.0894773306345118,0.001,0.0884773306345118,0.7713162035004504
2009-01-07,2009-01-09,2009-01-16,2919.949951171875,2828.449951171875,-0.0313361535403297,0.001,-0.032336153540329704,0.7463748043159156
2009-01-21,2009-01-22,2009-01-30,2714.699951171875,2874.800048828125,0.05897524608093008,0.001,0.057975246080930076,0.789646067264737
2009-02-02,2009-02-03,2009-02-10,2773.5,2934.5,0.058049396069947745,0.001,0.057049396069947744,0.8346948985111995
2009-02-16,2009-02-17,2009-02-25,2853.85009765625,2762.5,-0.03200942394671402,0.001,-0.03300942394671402,0.8071421007400839
2009-03-02,2009-03-03,2009-03-12,2672.14990234375,2617.449951171875,-0.020470390199254007,0.001,-0.021470390199254008,0.7898124448909487
2009-03-30,2009-03-31,2009-04-09,2981.699951171875,3342.050048828125,0.12085391003699897,0.001,0.11985391003699897,0.8844745546070107
2009-04-16,2009-04-17,2009-04-24,3369.5,3480.75,0.0330167680664788,0.001,0.032016768066478796,0.9127925712825656
2009-04-28,2009-04-29,2009-05-08,3371.64990234375,3620.699951171875,0.07386592797045788,0.001,0.07286592797045788,0.9793040490336102
2009-05-26,2009-05-27,2009-06-03,4117.2998046875,4530.7001953125,0.10040570525234727,0.001,0.09940570525234727,1.0766524586842754
2009-06-08,2009-06-09,2009-06-16,4427.75,4517.7998046875,0.02033759916153799,0.001,0.01933759916153799,1.097472332366596
2009-06-17,2009-06-18,2009-06-25,4352.9501953125,4241.85009765625,-0.025522942526631454,0.001,-0.026522942526631454,1.0683641367706687
2009-06-30,2009-07-01,2009-07-08,4292.2998046875,4078.89990234375,-0.0497169144873576,0.001,-0.0507169144873576,1.014180004204711
2009-07-08,2009-07-09,2009-07-16,4078.75,4231.39990234375,0.03742565794514241,0.001,0.03642565794514241,1.051122178132675
