Event_Number,Event_Date,Event_Return,Entry_Date,Entry_Price,Holding_Period,Exit_Date,Exit_Price,Forward_Return
84,2009-06-30,-0.022739974997403434,2009-07-01,4292.2998046875,3,2009-07-03,4424.25,0.030741141419898144
84,2009-06-30,-0.022739974997403434,2009-07-01,4292.2998046875,5,2009-07-07,4202.14990234375,-0.02100270401552562
85,2009-07-06,-0.05843923934847717,2009-07-07,4166.0,1,2009-07-07,4202.14990234375,0.008677364940890442
85,2009-07-06,-0.05843923934847717,2009-07-07,4166.0,3,2009-07-09,4080.949951171875,-0.020415278163256168
85,2009-07-06,-0.05843923934847717,2009-07-07,4166.0,5,2009-07-13,3974.050048828125,-0.04607536033890425
86,2009-07-08,-0.029330224495622392,2009-07-09,4078.75,1,2009-07-09,4080.949951171875,0.000539368966441911
86,2009-07-08,-0.029330224495622392,2009-07-09,4078.75,3,2009-07-13,3974.050048828125,-0.025669617204259865
86,2009-07-08,-0.029330224495622392,2009-07-09,4078.75,5,2009-07-15,4233.5,0.0379405455102666
87,2009-08-06,-0.02314581012623862,2009-08-07,4591.89990234375,1,2009-08-07,4481.39990234375,-0.024064113406217724
87,2009-08-06,-0.02314581012623862,2009-08-07,4591.89990234375,3,2009-08-11,4471.35009765625,-0.026252707430745703
87,2009-08-06,-0.02314581012623862,2009-08-07,4591.89990234375,5,2009-08-13,4605.0,0.0028528709107016326
88,2009-08-07,-0.022702016717097373,2009-08-10,4486.5,1,2009-08-10,4437.64990234375,-0.010888241982893176
88,2009-08-07,-0.022702016717097373,2009-08-10,4486.5,3,2009-08-12,4457.5,-0.006463835952301378
88,2009-08-07,-0.022702016717097373,2009-08-10,4486.5,5,2009-08-14,4580.0498046875,0.020851399685166694
89,2009-08-17,-0.041953670928882025,2009-08-18,4389.5,1,2009-08-18,4458.89990234375,0.015810434524148542
89,2009-08-17,-0.041953670928882025,2009-08-18,4389.5,3,2009-08-20,4453.4501953125,0.014568901996240946
89,2009-08-17,-0.041953670928882025,2009-08-18,4389.5,5,2009-08-24,4642.7998046875,0.05770584455803629
90,2009-10-27,-0.024985356670065073,2009-10-28,4846.5498046875,1,2009-10-28,4826.14990234375,-0.004209159745767965
90,2009-10-27,-0.024985356670065073,2009-10-28,4846.5498046875,3,2009-10-30,4711.7001953125,-0.027823836504181965
90,2009-10-27,-0.024985356670065073,2009-10-28,4846.5498046875,5,2009-11-04,4710.7998046875,-0.028009616215788125
