event_date,entry_date,exit_date,entry_price,exit_price,gross_return,transaction_cost,net_return,equity
2007-10-18,2007-10-19,2007-10-26,5360.35009765625,5702.2998046875,0.06379242042059219,0.001,0.06279242042059219,1.062792420420592
2007-10-19,2007-10-22,2007-10-29,5202.75,5905.89990234375,0.1351496616873289,0.001,0.1341496616873289,1.2053656640638717
2007-11-20,2007-11-21,2007-11-28,5778.7998046875,5617.5498046875,-0.02790371797777136,0.001,-0.02890371797777136,1.1705261148496804
2007-11-21,2007-11-22,2007-11-29,5564.64990234375,5634.60009765625,0.012570457538225055,0.001,0.011570457538225054,1.1840696375589321
2007-12-17,2007-12-18,2007-12-27,5777.60009765625,6081.5,0.052599677583609505,0.001,0.051599677583609505,1.2451672490935146
2008-01-15,2008-01-16,2008-01-23,6065.0,5203.39990234375,-0.14206102187242375,0.001,-0.14306102187242375,1.0670323500361216
2008-01-16,2008-01-17,2008-01-24,5937.9501953125,5033.4501953125,-0.15232529244081983,0.001,-0.15332529244081983,0.903429302923018
2008-01-18,2008-01-21,2008-01-28,5705.0,5274.10009765625,-0.07553021951687111,0.001,-0.07653021951687111,0.8342896600523456
2008-01-21,2008-01-22,2008-01-29,5203.35009765625,5280.7998046875,0.01488458504188217,0.001,0.01388458504188217,0.8458734257869053
2008-01-22,2008-01-23,2008-01-30,4903.0498046875,5167.60009765625,0.053956272831622076,0.001,0.052956272831622075,0.8906677297038955
2008-01-24,2008-01-25,2008-02-01,5035.0498046875,5317.25,0.05604715072525779,0.001,0.05504715072525779,0.9396964504670289
2008-01-28,2008-01-29,2008-02-05,5279.5498046875,5483.89990234375,0.03870597024670852,0.001,0.03770597024670852,0.9751286168692764
2008-01-30,2008-01-31,2008-02-07,5172.25,5133.25,-0.007540238774227825,0.001,-0.008540238774227826,0.9668007856456303
2008-02-06,2008-02-07,2008-02-14,5322.5498046875,5202.0,-0.022648882417470872,0.001,-0.023648882417470873,0.9439370275447784
2008-02-07,2008-02-08,2008-02-15,5132.10009765625,5302.89990234375,0.0332806846003455,0.001,0.0322806846003455,0.9744079610135389
2008-02-11,2008-02-12,2008-02-19,4877.85009765625,5280.7998046875,0.08260805456585518,0.001,0.08160805456585518,1.0539274990653353
2008-02-20,2008-02-21,2008-02-28,5156.89990234375,5285.10009765625,0.024859934794203564,0.001,0.023859934794203563,1.0790741404708524
2008-03-03,2008-03-04,2008-03-12,4958.5498046875,4872.0,-0.017454660756998197,0.001,-0.018454660756998198,1.0591601932768133
2008-03-07,2008-03-10,2008-03-17,4767.7998046875,4503.10009765625,-0.05551820921067374,0.001,-0.05651820921067374,0.9992983558855768
2008-03-13,2008-03-14,2008-03-25,4623.7998046875,4877.5,0.05486833470932395,0.001,0.05386833470932395,1.053128894194898
2008-03-17,2008-03-18,2008-03-27,4519.89990234375,4830.25,0.06866304660758549,0.001,0.06766304660758549,1.1243868036466023
2008-03-31,2008-04-01,2008-04-08,4735.64990234375,4709.64990234375,-0.005490270720209356,0.001,-0.006490270720209356,1.117089228896705
2008-04-04,2008-04-07,2008-04-15,4631.35009765625,4879.64990234375,0.05361283415243334,0.001,0.05261283415243334,1.1758624592301168
2008-06-02,2008-06-03,2008-06-10,4739.2998046875,4449.7998046875,-0.06108497287166015,0.001,-0.06208497287166015,1.1028590703480114
2008-06-04,2008-06-05,2008-06-12,4586.9501953125,4539.35009765625,-0.010377286787393802,0.001,-0.011377286787393803,1.0903115264185836
2008-06-09,2008-06-10,2008-06-17,4522.0,4653.0,0.028969482529854096,0.001,0.027969482529854095,1.1208069756088466
2008-06-20,2008-06-23,2008-06-30,4351.14990234375,4040.550048828125,-0.07138339530622018,0.001,-0.07238339530622018,1.0396791612313823
2008-06-27,2008-06-30,2008-07-07,4136.25,4030.0,-0.025687518887881566,0.001,-0.026687518887881567,1.011932703978683
2008-06-30,2008-07-01,2008-07-08,4039.75,3988.550048828125,-0.012674039525187197,0.001,-0.013674039525187198,0.9980954961876489
2008-07-01,2008-07-02,2008-07-09,3895.300048828125,4157.10009765625,0.06720921252443324,0.001,0.06620921252443324,1.0641786130144166
2008-07-03,2008-07-04,2008-07-11,3926.64990234375,4049.0,0.031158901531613825,0.001,0.030158901531613824,1.096273071016368
2008-07-11,2008-07-14,2008-07-21,4047.449951171875,4159.5,0.027684109792557754,0.001,0.026684109792557753,1.125526142005993
2008-07-15,2008-07-16,2008-07-23,3861.550048828125,4476.7998046875,0.15932714792757552,0.001,0.15832714792757552,1.303727485987729
2008-07-25,2008-07-28,2008-08-04,4282.25,4395.35009765625,0.02641137197880794,0.001,0.02541137197880794,1.3368569900931593
2008-07-29,2008-07-30,2008-08-06,4191.2001953125,4517.5498046875,0.0778654309426674,0.001,0.0768654309426674,1.4396150787453874
2008-08-14,2008-08-18,2008-08-25,4430.7001953125,4335.35009765625,-0.02152032262465564,0.001,-0.022520322624655642,1.4071944827167222
2008-08-21,2008-08-22,2008-08-29,4283.85009765625,4360.0,0.017776042720405227,0.001,0.016776042720405226,1.4308016374746964
2008-09-05,2008-09-08,2008-09-15,4358.2998046875,4072.89990234375,-0.06548422897314055,0.001,-0.06648422897314055,1.3356758937936841
2008-09-11,2008-09-12,2008-09-19,4291.60009765625,4245.25,-0.010800190279043664,0.001,-0.011800190279043665,1.3199146640957868
2008-09-15,2008-09-16,2008-09-23,4072.550048828125,4126.89990234375,0.013345410827121595,0.001,0.012345410827121595,1.3362095528807914
2008-09-23,2008-09-24,2008-10-01,4125.75,3950.75,-0.042416530327819224,0.001,-0.043416530327819225,1.2781959703038208
2008-09-26,2008-09-29,2008-10-07,3990.199951171875,3606.60009765625,-0.09613549651890663,0.001,-0.09713549651890663,1.1540377700798936
2008-09-29,2008-09-30,2008-10-08,3848.699951171875,3513.64990234375,-0.08705538313687122,0.001,-0.08805538313687122,1.0524185320810882
2008-10-03,2008-10-06,2008-10-14,3817.300048828125,3518.64990234375,-0.07823596328930382,0.001,-0.07923596328930382,0.969029135908128
2008-10-06,2008-10-07,2008-10-15,3606.949951171875,3338.39990234375,-0.07445350017703323,0.001,-0.07545350017703323,0.8959124958303337
2008-10-08,2008-10-10,2008-10-17,3502.050048828125,3074.35009765625,-0.1221284519662974,0.001,-0.1231284519662974,0.7856001771214829
2008-10-10,2008-10-13,2008-10-20,3272.89990234375,3122.800048828125,-0.045861425034153136,0.001,-0.04686142503415314,0.7487858333144871
2008-10-15,2008-10-16,2008-10-23,3333.85009765625,2943.14990234375,-0.1171918904173791,0.001,-0.1181918904173791,0.6602854201572954
2008-10-16,2008-10-17,2008-10-24,3269.050048828125,2584.0,-0.20955630491913046,0.001,-0.21055630491913047,0.5212581618969997
2008-10-17,2008-10-20,2008-10-27,3108.199951171875,2524.199951171875,-0.18789010011399565,0.001,-0.18889010011399565,0.4227976555110381
2008-10-22,2008-10-23,2008-11-03,3064.800048828125,3043.85009765625,-0.006835666548584696,0.001,-0.007835666548584697,0.41948475406493024
2008-10-23,2008-10-24,2008-11-04,2936.25,3142.10009765625,0.07010646152618127,0.001,0.06910646152618127,0.448473861082538
2008-10-24,2008-10-27,2008-11-05,2583.75,2994.949951171875,0.15914850553338167,0.001,0.15814850553338167,0.5193993319835267
2008-10-27,2008-10-29,2008-11-06,2685.300048828125,2892.64990234375,0.07721664236594838,0.001,0.07621664236594838,0.5589862051144278
2008-11-05,2008-11-06,2008-11-14,2998.449951171875,2810.35009765625,-0.06273236391426529,0.001,-0.06373236391426529,0.5233606928670209
2008-11-06,2008-11-07,2008-11-17,2893.25,2799.550048828125,-0.032385708518750556,0.001,-0.033385708518750556,0.5058879253247912
2008-11-11,2008-11-12,2008-11-20,2937.89990234375,2553.14990234375,-0.13096089478510153,0.001,-0.13196089478510153,0.4391305020379531
2008-11-12,2008-11-14,2008-11-21,2848.0,2693.449951171875,-0.05426616883010005,0.001,-0.05526616883010005,0.414861441573877
2008-11-18,2008-11-19,2008-11-26,2682.75,2752.25,0.025906252912123673,0.001,0.024906252912123672,0.42519408556120425
2008-11-20,2008-11-21,2008-12-01,2553.60009765625,2682.89990234375,0.05063432007469548,0.001,0.04963432007469548,0.44629830489781647
2008-11-25,2008-11-26,2008-12-04,2652.449951171875,2788.0,0.051103715931845484,0.001,0.05010371593184548,0.46865950838728077
2008-12-01,2008-12-02,2008-12-10,2672.89990234375,2928.25,0.0955329817747177,0.001,0.0945329817747177,0.5129632891522037
2008-12-05,2008-12-08,2008-12-16,2714.699951171875,3041.75,0.12047373732295719,0.001,0.11947373732295719,0.5742489304166941
2008-12-17,2008-12-18,2008-12-26,2955.35009765625,2857.25,-0.03319406987823492,0.001,-0.03419406987823492,0.554613022362524
2008-12-23,2008-12-24,2009-01-02,2967.39990234375,3046.75,0.026740614769710236,0.001,0.025740614769710235,0.5688891025174223
2008-12-26,2008-12-29,2009-01-06,2857.14990234375,3112.800048828125,0.0894773306345118,0.001,0.0884773306345118,0.619222891735227
2009-01-07,2009-01-09,2009-01-16,2919.949951171875,2828.449951171875,-0.0313361535403297,0.001,-0.032336153540329704,0.5991996052323898
2009-01-12,2009-01-13,2009-01-20,2775.0,2796.60009765625,0.007783818975225287,0.001,0.006783818975225287,0.6032644668843129
2009-01-15,2009-01-16,2009-01-23,2737.0,2678.550048828125,-0.021355480881211197,0.001,-0.022355480881211198,0.5897781996285666
2009-01-21,2009-01-22,2009-01-30,2714.699951171875,2874.800048828125,0.05897524608093008,0.001,0.057975246080930076,0.6239707358852007
2009-02-02,2009-02-03,2009-02-10,2773.5,2934.5,0.058049396069947745,0.001,0.057049396069947744,0.6595678895327722
2009-02-16,2009-02-17,2009-02-25,2853.85009765625,2762.5,-0.03200942394671402,0.001,-0.03300942394671402,0.6377959334455455
2009-02-17,2009-02-18,2009-02-26,2755.14990234375,2785.64990234375,0.01107017805966004,0.001,0.01007017805966004,0.6442186520610693
2009-03-02,2009-03-03,2009-03-12,2672.14990234375,2617.449951171875,-0.020470390199254007,0.001,-0.021470390199254008,0.6303870262276807
2009-03-05,2009-03-06,2009-03-17,2576.75,2757.449951171875,0.07012707913917726,0.001,0.06912707913917726,0.6739638400780323
2009-03-30,2009-03-31,2009-04-09,2981.699951171875,3342.050048828125,0.12085391003699897,0.001,0.11985391003699897,0.7547410415349353
2009-04-16,2009-04-17,2009-04-24,3369.5,3480.75,0.0330167680664788,0.001,0.032016768066478796,0.778905410412012
2009-04-28,2009-04-29,2009-05-08,3371.64990234375,3620.699951171875,0.07386592797045788,0.001,0.07286592797045788,0.8356610759428937
2009-05-26,2009-05-27,2009-06-03,4117.2998046875,4530.7001953125,0.10040570525234727,0.001,0.09940570525234727,0.9187305545489324
2009-06-08,2009-06-09,2009-06-16,4427.75,4517.7998046875,0.02033759916153799,0.001,0.01933759916153799,0.9364965977502571
2009-06-15,2009-06-16,2009-06-23,4478.10009765625,4247.0,-0.05160672888424345,0.001,-0.05260672888424345,0.8872305751313929
2009-06-17,2009-06-18,2009-06-25,4352.9501953125,4241.85009765625,-0.025522942526631454,0.001,-0.026522942526631454,0.8636986095793128
2009-06-18,2009-06-19,2009-06-26,4251.10009765625,4375.5,0.029262990634432606,0.001,0.028262990634432605,0.8881093152928252
2009-06-30,2009-07-01,2009-07-08,4292.2998046875,4078.89990234375,-0.0497169144873576,0.001,-0.0507169144873576,0.8430671510936933
2009-07-06,2009-07-07,2009-07-14,4166.0,4111.39990234375,-0.013106120416766731,0.001,-0.014106120416766732,0.8311747443409452
2009-07-08,2009-07-09,2009-07-16,4078.75,4231.39990234375,0.03742565794514241,0.001,0.03642565794514241,0.8614508312709496
2009-08-06,2009-08-07,2009-08-14,4591.89990234375,4580.0498046875,-0.00258065243325567,0.001,-0.00358065243325567,0.8583662752558291
2009-08-07,2009-08-10,2009-08-17,4486.5,4387.89990234375,-0.02197706400451349,0.001,-0.022977064004513492,0.8386435384099601
2009-08-17,2009-08-18,2009-08-25,4389.5,4659.35009765625,0.06147627239007858,0.001,0.06047627239007858,0.88936157347702
2009-10-27,2009-10-28,2009-11-05,4846.5498046875,4765.5498046875,-0.016712920172956447,0.001,-0.017712920172956448,0.8736083829211266
2009-11-03,2009-11-04,2009-11-11,4567.2998046875,5003.9501953125,0.09560361905230264,0.001,0.09460361905230263,0.9562548975798949
2009-11-26,2009-11-27,2009-12-04,5005.0498046875,5108.89990234375,0.020749063787335098,0.001,0.019749063787335097,0.9751400365491517
2010-01-21,2010-01-22,2010-02-01,5094.14990234375,4899.7001953125,-0.03817117885396071,0.001,-0.03917117885396071,0.9369426517698272
2010-01-27,2010-01-28,2010-02-04,4863.0,4845.35009765625,-0.0036294267620295972,0.001,-0.004629426762029597,0.9326051443832369
2010-02-05,2010-02-08,2010-02-16,4755.35009765625,4855.75,0.02111304116036239,0.001,0.020113041160362388,0.9513626700385828
2010-05-19,2010-05-20,2010-05-27,4924.2998046875,5003.10009765625,0.01600233456414224,0.001,0.015002334564142239,0.9656353311063371
2010-05-25,2010-05-26,2010-06-02,4807.2998046875,5019.85009765625,0.04421407060185767,0.001,0.04321407060185767,1.0073643644804144
2010-06-01,2010-06-02,2010-06-09,4970.75,5000.2998046875,0.005944737652768595,0.001,0.004944737652768595,1.0123455169835183
2010-11-16,2010-11-18,2010-11-25,6075.9501953125,5799.75,-0.04545794261539271,0.001,-0.04645794261539271,0.965314027048548
2010-12-09,2010-12-10,2010-12-20,5761.0,5947.0498046875,0.03229470659390721,0.001,0.03129470659390721,0.9955232462960154
2011-01-07,2011-01-10,2011-01-17,5901.2998046875,5654.75,-0.04177889835247173,0.001,-0.04277889835247173,0.9529358585351955
2011-01-10,2011-01-11,2011-01-18,5767.9501953125,5724.0498046875,-0.00761109044607855,0.001,-0.008611090446078551,0.9447300416680374
2011-02-04,2011-02-07,2011-02-14,5430.14990234375,5456.0,0.004760475883933246,0.001,0.003760475883933246,0.9482826762065575
2011-02-24,2011-02-25,2011-03-07,5321.0498046875,5463.14990234375,0.026705274874719187,0.001,0.025705274874719186,0.9726585430573815
2011-05-03,2011-05-04,2011-05-11,5567.7001953125,5565.0498046875,-0.0004760296948516096,0.001,-0.0014760296948516096,0.9712228701648777
2011-06-20,2011-06-21,2011-06-28,5280.7998046875,5545.2998046875,0.05008710986642906,0.001,0.04908710986642906,1.0188973938974495
2011-08-05,2011-08-08,2011-08-16,5083.85009765625,5035.7998046875,-0.009451555818080104,0.001,-0.010451555818080105,1.0082483309122339
2011-08-18,2011-08-19,2011-08-26,4859.2998046875,4747.7998046875,-0.022945692688572605,0.001,-0.023945692688572606,0.9841051262264433
2011-09-12,2011-09-13,2011-09-20,4977.7998046875,5140.2001953125,0.03262493410684586,0.001,0.03162493410684586,1.015227385997564
