Metric,Value
Number of trades,124.0
Average net return,0.0028394132822227914
Median net return,0.0028160293111473
Win rate,0.5080645161290323
Return volatility,0.045318391171961986
Total compounded return,0.250164543691501
Maximum drawdown,-0.3979562485154782
